lat_deg,lon_deg,alt_km,x_ecef_m,y_ecef_m,z_ecef_m,ax_m_s2,ay_m_s2,az_m_s2,g_total_m_s2,g_point_mass_m_s2,delta_g_m_s2,delta_g_mGal
-70.000000,-30.000000,400,2007671.315422,-1159129.574403,-6369364.663791,-2.569991,1.483792,8.142875,8.666770,8.675953,-0.009183,-918.254738
-70.000000,-20.000000,400,2178451.015203,-792891.326341,-6369364.663791,-2.788598,1.014974,8.142880,8.666773,8.675953,-0.009180,-917.972151
-70.000000,-10.000000,400,2283039.583237,-402561.476550,-6369364.663791,-2.922475,0.515318,8.142890,8.666780,8.675953,-0.009173,-917.318474
-70.000000,0.000000,400,2318259.148807,0.000000,-6369364.663791,-2.967557,0.000006,8.142898,8.666787,8.675953,-0.009166,-916.619743
-70.000000,10.000000,400,2283039.583237,402561.476550,-6369364.663791,-2.922475,-0.515306,8.142904,8.666792,8.675953,-0.009160,-916.042959
-70.000000,20.000000,400,2178451.015203,792891.326341,-6369364.663791,-2.788598,-1.014963,8.142906,8.666796,8.675953,-0.009157,-915.696439
-70.000000,30.000000,400,2007671.315422,1159129.574403,-6369364.663791,-2.569991,-1.483782,8.142910,8.666801,8.675953,-0.009152,-915.158056
-70.000000,40.000000,400,1775889.538653,1490148.256896,-6369364.663791,-2.273294,-1.907520,8.142916,8.666809,8.675953,-0.009144,-914.377263
-70.000000,50.000000,400,1490148.256896,1775889.538653,-6369364.663791,-1.907521,-2.273301,8.142920,8.666815,8.675953,-0.009138,-913.767427
-70.000000,60.000000,400,1159129.574403,2007671.315422,-6369364.663791,-1.483785,-2.570011,8.142916,8.666813,8.675953,-0.009140,-913.972673
-70.000000,70.000000,400,792891.326341,2178451.015203,-6369364.663791,-1.014963,-2.788627,8.142903,8.666803,8.675953,-0.009150,-915.003091
-70.000000,80.000000,400,402561.476550,2283039.583237,-6369364.663791,-0.515300,-2.922505,8.142897,8.666795,8.675953,-0.009158,-915.797682
-70.000000,90.000000,400,0.000000,2318259.148807,-6369364.663791,0.000020,-2.967581,8.142885,8.666782,8.675953,-0.009171,-917.080269
-70.000000,100.000000,400,-402561.476550,2283039.583237,-6369364.663791,0.515337,-2.922491,8.142861,8.666759,8.675953,-0.009194,-919.366969
-70.000000,110.000000,400,-792891.326341,2178451.015203,-6369364.663791,1.014991,-2.788603,8.142836,8.666735,8.675953,-0.009218,-921.806062
-70.000000,120.000000,400,-1159129.574403,2007671.315422,-6369364.663791,1.483802,-2.569984,8.142820,8.666718,8.675953,-0.009235,-923.511385
-70.000000,130.000000,400,-1490148.256896,1775889.538653,-6369364.663791,1.907528,-2.273279,8.142804,8.666701,8.675953,-0.009251,-925.138088
-70.000000,140.000000,400,-1775889.538653,1490148.256896,-6369364.663791,2.273297,-1.907506,8.142789,8.666688,8.675953,-0.009265,-926.508352
-70.000000,150.000000,400,-2007671.315422,1159129.574403,-6369364.663791,2.569995,-1.483777,8.142776,8.666675,8.675953,-0.009277,-927.739994
-70.000000,160.000000,400,-2178451.015203,792891.326341,-6369364.663791,2.788605,-1.014962,8.142770,8.666670,8.675953,-0.009283,-928.275897
-70.000000,170.000000,400,-2283039.583237,402561.476550,-6369364.663791,2.922486,-0.515308,8.142765,8.666666,8.675953,-0.009287,-928.691303
-60.000000,-180.000000,400,-3389068.150000,-0.000000,-5870038.226113,4.338686,0.000002,7.505042,8.668902,8.675953,-0.007051,-705.108666
-60.000000,-170.000000,400,-3337580.589607,-588505.508237,-5870038.226113,4.272775,0.753404,7.505047,8.668907,8.675953,-0.007046,-704.570450
-60.000000,-160.000000,400,-3184682.331896,-1159129.574403,-5870038.226113,4.077038,1.483916,7.505056,8.668917,8.675953,-0.007036,-703.612906
-60.000000,-150.000000,400,-2935019.113057,-1694534.075000,-5870038.226113,3.757422,2.169344,7.505064,8.668925,8.675953,-0.007028,-702.756822
-60.000000,-140.000000,400,-2596176.823659,-2178451.015203,-5870038.226113,3.323638,2.788856,7.505069,8.668930,8.675953,-0.007023,-702.256302
-60.000000,-130.000000,400,-2178451.015203,-2596176.823659,-5870038.226113,2.788867,3.323630,7.505076,8.668936,8.675953,-0.007017,-701.675465
-60.000000,-120.000000,400,-1694534.075000,-2935019.113057,-5870038.226113,2.169356,3.757416,7.505083,8.668942,8.675953,-0.007011,-701.089192
-60.000000,-110.000000,400,-1159129.574403,-3184682.331896,-5870038.226113,1.483931,4.077034,7.505090,8.668946,8.675953,-0.007007,-700.665722
-60.000000,-100.000000,400,-588505.508237,-3337580.589607,-5870038.226113,0.753419,4.272772,7.505100,8.668953,8.675953,-0.006999,-699.939483
