jd,latitude_deg,longitude_deg
2460482.79861111,-40.7420,-156.2549
2460482.79930556,-42.9095,-152.1665
2460482.80000000,-44.9002,-147.7778
2460482.80069444,-46.6889,-143.0764
2460482.80138889,-48.2489,-138.0608
2460482.80208333,-49.5534,-132.7443
2460482.80277778,-50.5765,-127.1583
2460482.80347222,-51.2958,-121.3545
2460482.80416667,-51.6939,-115.4030
2460482.80486111,-51.7609,-109.3885
2460482.80555556,-51.4951,-103.4021
2460482.80625000,-50.9035,-97.5317
2460482.80694444,-50.0007,-91.8541
2460482.80763889,-48.8076,-86.4283
2460482.80833333,-47.3490,-81.2938
2460482.80902778,-45.6516,-76.4703
2460482.80972222,-43.7424,-71.9619
2460482.81041667,-41.6472,-67.7598
2460482.81111111,-39.3902,-63.8472
2460482.81180556,-36.9929,-60.2017
2460482.81250000,-34.4748,-56.7986
2460482.81319444,-31.8530,-53.6125
2460482.81388889,-29.1425,-50.6181
2460482.81458333,-26.3564,-47.7917
2460482.81527778,-23.5062,-45.1105
2460482.81597222,-20.6022,-42.5536
2460482.81666667,-17.6532,-40.1016
2460482.81736111,-14.6675,-37.7366
2460482.81805556,-11.6523,-35.4416
2460482.81875000,-8.6145,-33.2010
2460482.81944444,-5.5602,-30.9998
2460482.82013889,-2.4956,-28.8238
2460482.82083333,0.5737,-26.6589
2460482.82152778,3.6419,-24.4915
2460482.82222222,6.7033,-22.3077
2460482.82291667,9.7521,-20.0935
2460482.82361111,12.7822,-17.8344
2460482.82430556,15.7872,-15.5152
2460482.82500000,18.7600,-13.1198
2460482.82569444,21.6930,-10.6309
2460482.82638889,24.5780,-8.0300
2460482.82708333,27.4054,-5.2972
2460482.82777778,30.1646,-2.4108
2460482.82847222,32.8435,0.6522
2460482.82916667,35.4283,3.9162
2460482.82986111,37.9032,7.4066
2460482.83055556,40.2504,11.1489
2460482.83125000,42.4496,15.1670
2460482.83194444,44.4781,19.4815
2460482.83263889,46.3113,24.1068
2460482.83333333,47.9226,29.0473
2460482.83402778,49.2851,34.2935
2460482.83472222,50.3726,39.8185
2460482.83541667,51.1614,45.5756
2460482.83611111,51.6329,51.4987
2460482.83680556,51.7750,57.5058
2460482.83750000,51.5839,63.5069
2460482.83819444,51.0645,69.4122
2460482.83888889,50.2296,75.1418
2460482.83958333,49.0989,80.6319
